SECT_NAME,SECT_CODE,LIE_NAME,LIE_CODE,LI_NO,SDFKEY,SDFNAME,area
信義區,6300200,敦厚里,6300200007,001,6300200007001,敦厚里1鄰,13699.38379530000
信義區,6300200,四維里,6300200017,004,6300200017004,四維里4鄰,3569.49061671000
松山區,6300100,敦化里,6300100030,025,6300100030025,敦化里25鄰,1703.03370580000
信義區,6300200,新仁里,6300200005,018,6300200005018,新仁里18鄰,51481.24750980000
信義區,6300200,四維里,6300200017,006,6300200017006,四維里6鄰,2649.02020927000
信義區,6300200,四維里,6300200017,005,6300200017005,四維里5鄰,2281.07451242000
萬華區,6300700,萬壽里,6300700002,004,6300700002004,萬壽里4鄰,10401.86392500000
南港區,6300900,成福里,6300900011,006,6300900011006,成福里6鄰,3281.55577637000
南港區,6300900,萬福里,6300900012,009,6300900012009,萬福里9鄰,3479.51127828000
信義區,6300200,永春里,6300200018,021,6300200018021,永春里21鄰,6320.31132820000
松山區,6300100,復建里,6300100032,005,6300100032005,復建里5鄰,2010.02275906000
信義區,6300200,永春里,6300200018,011,6300200018011,永春里11鄰,5102.29780725000
信義區,6300200,永春里,6300200018,001,6300200018001,永春里1鄰,5986.69903274000
松山區,6300100,復建里,6300100032,001,6300100032001,復建里1鄰,4882.88919945000
松山區,6300100,中崙里,6300100027,004,6300100027004,中崙里4鄰,4232.53383054000
信義區,6300200,永春里,6300200018,002,6300200018002,永春里2鄰,4215.37807062000
南港區,6300900,合成里,6300900010,013,6300900010013,合成里13鄰,10993.43336930000
松山區,6300100,復源里,6300100031,009,6300100031009,復源里9鄰,2495.91338247000
南港區,6300900,中研里,6300900017,033,6300900017033,中研里33鄰,17618.04839690000
中正區,6300500,梅花里,6300500025,009,6300500025009,梅花里9鄰,8090.88268621000
松山區,6300100,敦化里,6300100030,012,6300100030012,敦化里12鄰,3385.00968312000
南港區,6300900,合成里,6300900010,014,6300900010014,合成里14鄰,4265.90311760000
松山區,6300100,復建里,6300100032,002,6300100032002,復建里2鄰,7746.01654985000
松山區,6300100,福成里,6300100034,009,6300100034009,福成里9鄰,2314.70365850000
萬華區,6300700,萬壽里,6300700002,010,6300700002010,萬壽里10鄰,12258.43229070000
松山區,6300100,吉仁里,6300100029,012,6300100029012,吉仁里12鄰,2541.00228927000
信義區,6300200,六藝里,6300200010,003,6300200010003,六藝里3鄰,2684.70238050000
信義區,6300200,五全里,6300200013,002,6300200013002,五全里2鄰,4233.06143222000
中山區,6300400,朱園里,6300400036,023,6300400036023,朱園里23鄰,2981.13665528000
南港區,6300900,成福里,6300900011,028,6300900011028,成福里28鄰,2241.67107705000
信義區,6300200,六藝里,6300200010,004,6300200010004,六藝里4鄰,3838.53600187000
信義區,6300200,五全里,6300200013,007,6300200013007,五全里7鄰,3622.26920848000
松山區,6300100,敦化里,6300100030,027,6300100030027,敦化里27鄰,4259.86438988000
中山區,6300400,埤頭里,6300400037,006,6300400037006,埤頭里6鄰,5148.96672951000
信義區,6300200,五全里,6300200013,008,6300200013008,五全里8鄰,3158.11123363000
萬華區,6300700,萬壽里,6300700002,002,6300700002002,萬壽里2鄰,12403.09874110000
中山區,6300400,埤頭里,6300400037,007,6300400037007,埤頭里7鄰,3212.01956459000
松山區,6300100,復源里,6300100031,007,6300100031007,復源里7鄰,1964.91670087000
南港區,6300900,萬福里,6300900012,006,6300900012006,萬福里6鄰,10152.48064490000
松山區,6300100,復源里,6300100031,004,6300100031004,復源里4鄰,3678.00643108000
信義區,6300200,新仁里,6300200005,021,6300200005021,新仁里21鄰,6525.20001141000
信義區,6300200,新仁里,6300200005,001,6300200005001,新仁里1鄰,224111.52246500000
南港區,6300900,萬福里,6300900012,008,6300900012008,萬福里8鄰,3768.99468373000
信義區,6300200,敦厚里,6300200007,004,6300200007004,敦厚里4鄰,7019.21544656000
信義區,6300200,敦厚里,6300200007,003,6300200007003,敦厚里3鄰,4923.21744521000
松山區,6300100,吉仁里,6300100029,013,6300100029013,吉仁里13鄰,2656.09642156000
信義區,6300200,敦厚里,6300200007,013,6300200007013,敦厚里13鄰,3741.00032980000
信義區,6300200,永春里,6300200018,022,6300200018022,永春里22鄰,21724.74240560000
萬華區,6300700,萬壽里,6300700002,008,6300700002008,萬壽里8鄰,6195.59399442000
南港區,6300900,鴻福里,6300900013,003,6300900013003,鴻福里3鄰,4091.62405938000
中正區,6300500,梅花里,6300500025,008,6300500025008,梅花里8鄰,12433.92490760000
大安區,6300300,光武里,6300300010,016,6300300010016,光武里16鄰,8460.08497730000
大安區,6300300,光武里,6300300010,017,6300300010017,光武里17鄰,6074.41779936000
大安區,6300300,光武里,6300300010,018,6300300010018,光武里18鄰,9898.22606051000
大安區,6300300,光武里,6300300010,015,6300300010015,光武里15鄰,6664.51988932000
松山區,6300100,復源里,6300100031,008,6300100031008,復源里8鄰,5095.22352271000
信義區,6300200,五全里,6300200013,009,6300200013009,五全里9鄰,2950.92807469000
中正區,6300500,光復里,6300500023,011,6300500023011,光復里11鄰,16329.56288330000
信義區,6300200,五全里,6300200013,011,6300200013011,五全里11鄰,3667.21282416000
信義區,6300200,五全里,6300200013,010,6300200013010,五全里10鄰,5677.87653003000
大安區,6300300,光武里,6300300010,014,6300300010014,光武里14鄰,12961.43222420000
松山區,6300100,敦化里,6300100030,028,6300100030028,敦化里28鄰,4680.58914352000
南港區,6300900,萬福里,6300900012,019,6300900012019,萬福里19鄰,2599.24927225000
信義區,6300200,新仁里,6300200005,011,6300200005011,新仁里11鄰,5194.44075313000
南港區,6300900,鴻福里,6300900013,002,6300900013002,鴻福里2鄰,4784.52790274000
中正區,6300500,光復里,6300500023,004,6300500023004,光復里4鄰,11644.42677090000
中正區,6300500,黎明里,6300500024,007,6300500024007,黎明里7鄰,10848.04220460000
大安區,6300300,民輝里,6300300007,021,6300300007021,民輝里21鄰,16034.77712570000
中正區,6300500,光復里,6300500023,005,6300500023005,光復里5鄰,9930.45982239000
大安區,6300300,華聲里,6300300054,001,6300300054001,華聲里1鄰,5283.39600383000
中正區,6300500,光復里,6300500023,010,6300500023010,光復里10鄰,13226.29044450000
松山區,6300100,吉仁里,6300100029,014,6300100029014,吉仁里14鄰,3356.41243988000
大安區,6300300,誠安里,6300300009,015,6300300009015,誠安里15鄰,7669.62731899000
大安區,6300300,光武里,6300300010,020,6300300010020,光武里20鄰,5255.95944449000
信義區,6300200,敦厚里,6300200007,010,6300200007010,敦厚里10鄰,3451.45958041000
中正區,6300500,梅花里,6300500025,011,6300500025011,梅花里11鄰,3107.47434830000
信義區,6300200,六藝里,6300200010,005,6300200010005,六藝里5鄰,5478.17826216000
大安區,6300300,建安里,6300300049,001,6300300049001,建安里1鄰,16383.43784090000
信義區,6300200,四維里,6300200017,011,6300200017011,四維里11鄰,4819.95168647000
大安區,6300300,華聲里,6300300054,002,6300300054002,華聲里2鄰,2906.69965025000
大安區,6300300,民輝里,6300300007,022,6300300007022,民輝里22鄰,9298.67043645000
松山區,6300100,復源里,6300100031,007,6300100031007,復源里7鄰,2288.09079307000
信義區,6300200,四維里,6300200017,010,6300200017010,四維里10鄰,4102.34364878000
