"統一編號","商業名稱","商業地址","登記狀態"
"99666800","沅璋商行","雲林縣斗南鎮林子里林子三００號","核准設立"
"10842380","三巧商行","臺南市新市區永就里中山路199之4號","歇業／撤銷"
"26809247","山茶花烘焙坊","臺中市北區立人里陜西路104號","歇業／撤銷"
"25853912","和記地瓜酥企業社","臺東縣臺東市中正里中正路二八五號","歇業／撤銷"
"39783229","極速咖啡專賣店","南投縣集集鎮集集里民生路173號","核准設立"
"56951038","全津商行","臺南市南區明興里新都路531號1樓","歇業／撤銷"
"17633824","亞尼克?子工房","新北市萬里區瑪鋉路１２７之６、７號１樓","核准設立"
"10992388","風林小舖","臺中市新社區福興里民裕32之3號","核准設立"
"41478739","童的家烘培坊","新竹縣竹北市聯興里環北路五段86號1樓","核准設立"
"13780789","咖啡大師行","新北市中和區建一路１５２號","廢止"
"26000722","禾軒烘培坊","高雄市鳳山區新康街２３７巷１號１樓","核准設立"
"94728335","太祥西點麵包食品行","花蓮縣光復鄉中山路二三六號","歇業／撤銷"
"72064376","新穩好餅號","臺南市永康區?行里鹽行65號","歇業／撤銷"
"57624006","順發西點麵包廠","臺中市東勢區南平里豐勢路382號","歇業／撤銷"
"68274532","克林食品店","臺南市中西區永華里府前路1段218號1樓","核准設立"
"10707032","永發製餅廠","高雄市湖內區湖東里東方路４９號１樓（騎樓、門廊、停車空間不得作為營業場所）","核准設立"
"26501704","東湧企業行","連江縣東引鄉中柳村42號","核准設立"
"17299855","中鎂食品行","彰化縣溪湖鎮中山里成功路田巷８４號","核准設立"
"25424650","好香屋蛋糕名店","臺中市沙鹿區興仁里沙田路122號1樓","核准設立"
"26538821","琪莉屋","新北市淡水區大智街43號","歇業／撤銷"
"08184683","上好食品行","澎湖縣馬公市光榮里光復路二七三之一號一樓","核准設立"
"45766774","曾家莊食品廠","雲林縣西螺鎮正興里福安街111號1樓、113號1樓","核准設立"
"94660996","日進堂食品行","花蓮縣花蓮市中華路四一六巷四衖八號","歇業／撤銷"
"36815232","新生烘焙坊","臺南市學甲區新達里中山路88巷29號1樓","核准設立"
"00940833","福億商店","基隆市中正區武昌街一Ｏ二號之一Ｏ","核准設立"
"91952344","甲美軒芋冰城食品廠","高雄市甲仙區大田里新興路１２７號１樓","歇業／撤銷"
"37556986","程果食品企業社","臺南市新市區大營里豐榮3之1號","核准設立"
"74440600","鎰豐盛","臺南市麻豆區大埕里振明街2之1號","核准設立"
"38720303","兆盛生活工作室","高雄市鳳山區濱山街６號３樓之１０","核准設立"
"05859327","葡萄樹西點麵包專賣店","臺中市烏日區仁德里中山路一段４８５號一樓","歇業／撤銷"
"64877863","統一豆沙店","雲林縣北港鎮水埔里水埔六五號","核准設立"
"94623493","廣佳香食品行","花蓮縣花蓮市民生里綜合市場一九號","歇業／撤銷"
"10972221","阿布帝嘟食品行","臺中市北屯區平和里梅川西路四段２８６號５樓之７","核准設立"
"10953836","綠洲食品行","彰化縣員林市仁愛里員東路２段３３０號１樓","核准設立"
"26445154","一家蛋糕烘焙坊","臺南市東區龍山里東門路2段94號1樓","核准設立"
"29337334","柏陞資訊行","新竹縣竹北市莊敬三路116號","核准設立"
"96570513","長春餅舖","澎湖縣馬公市陽明里永安街５巷４號","核准設立"
"21927815","味芳餅店","臺東縣成功鎮忠智里中華路一三三號一樓","核准設立"
"41384281","一二三工作室","新北市板橋區莒光路200巷35號","核准設立"
"38834333","旺得福手工麵點專賣店","臺中市豐原區南陽里南陽路４０１號１樓","歇業／撤銷"
"39700760","溫莎堡食品行","南投縣名間鄉東湖村彰南路329巷5號1樓","核准設立"
"25430610","食易食品商行","臺中市大里區東湖里長春路78巷19號1樓","歇業／撤銷"
"64242601","青木屋","雲林縣虎尾鎮中山里仁愛路四六號","歇業／撤銷"
"38690552","卡詩娜食品","高雄市三民區明哲路３３號４樓之８","歇業／撤銷"
"94801573","勝隆麵包行","花蓮縣豐濱鄉豐濱村五鄰七七之一號","歇業／撤銷"
"41712806","美香珍","宜蘭縣羅東鎮羅東里中山路一四九號","核准設立"
"36745503","麵麵聚道企業社","臺東縣臺東市建國里光復路一八一號","歇業／撤銷"
"90908476","英雄食品行","新北市新店區寶興路45巷6弄2號","核准設立"
"69399004","福馨麵包店","臺南市北區勝安里開■路212巷15號","歇業／撤銷"
"31874422","闊喜工房","臺北市信義區基隆路2段22號6樓之6","核准設立"
"41299969","水蓮秀工作坊","高雄市鼓山區鼓山二路１２１巷３０號","核准設立"
"37564178","品味概念店","臺南市南區新昌里國華街1段106號1樓","核准設立"
"30332879","提拉米蘇手工坊","新竹縣竹東鎮榮華里北興路３段２４０號１樓","核准設立"
"77276716","炎成商店","金門縣金城鎮西門里民權路１１９號","廢止"
"97840607","祥好食品行","彰化縣和美鎮柑井里柑竹路十九號","歇業／撤銷"
"31709922","輕熟感蛋糕坊","新北市板橋區北門街6號","歇業／撤銷"
"47158608","今日餅店","新竹縣竹北市竹義里中正路七一二號","歇業／撤銷"
"43182108","邱裕香商店","桃園市大溪區仁善里３鄰松樹１３１５號","歇業／撤銷"
"60206316","成芳珍餅行","彰化縣溪湖鎮太平里員鹿路一五七號","歇業／撤銷"
"02118005","尚豐企業社","新北市八里區忠孝路187號(1樓)","核准設立"
"35292806","美雅軒","新北市三重區中央南路５０巷?0９號?0樓","停業"
"05822482","聯翔餅店","臺中市大甲區大甲里順天路１６２號一樓","核准設立"
"55631184","社口犁記餅店豐原分店","臺中市豐原區陽明里南陽路５３９號","核准設立"
"31690938","大直烘焙","新北市三重區永福路197巷37弄6號3樓","停業"
"34769521","大象饅頭店","新北市三重區大同北路89號1樓","核准設立"
"36498215","楊順珍西點麵包廠","桃園市龍潭區龍潭里東龍路２６２號","歇業／撤銷"
"81677116","紅杉商行","新北市新店區民權路１２２巷４號１樓","歇業／撤銷"
"37551309","麥朵烘焙","臺南市中西區五妃里慶中街196號1樓","歇業／撤銷"
"42020680","吉城熱炒小吃店","新北市三峽區復興路179號","核准設立"
"17326467","台富行","新竹縣湖口鄉信義村１２鄰狗頭５之２８號","核准設立"
"21761645","長壽蛋糕烘焙坊","臺北市中山區松江路328號8樓","歇業／撤銷"
"69798353","喜來登西點麵包店","臺南市安南區理想里大安街461巷20號1樓","歇業／撤銷"
"87852462","美心食品商行","臺南市東區崇學里崇學路186號地下室","歇業／撤銷"
"39802751","維特比利時鬆餅專賣店","臺中市北區新北里一中街２４１號１樓","歇業／撤銷"
"36921923","禾益企業行","高雄市鳳山區南華路東巷７５弄４２之１號","遷他縣市"
"83163773","玉美製餅舖","高雄市左營區頂北里左營大路３４５巷３號","核准設立"
"98787165","上田屋食品行","新北市蘆洲區民權路９２號","核准設立"
"09176985","小樂樂烘焙坊","彰化縣秀水鄉福安村彰水路２段５８５號１樓","核准設立"
"02933979","吉美西點麵包","苗栗縣頭份鎮和平里中正路三三號","核准設立"
"26194699","川桂食品行","新北市三重區國道路1段58巷2號","核准設立"
"55636391","裕美食品行","臺中市豐原區豐圳里豐社路１７４號","歇業／撤銷"
"25247487","詹老師包子饅頭","臺中市大甲區薰風里順天路74號","歇業／撤銷"
"94119157","松月軒餅舖","花蓮縣花蓮市中正路五十之一號","歇業／撤銷"
"18061491","芳滿庭烘焙","花蓮縣花蓮市民勤里中美路65號","歇業／撤銷"
"59300025","永昌商店","彰化縣彰化市光南里中興路１５８之３號","歇業／撤銷"
"30193911","海山城玩具禮品","新北市板橋區三民路１段７２號１樓","歇業／撤銷"
"30371491","春雨洋行","新北市中和區景新街４６７巷２１號之３４樓（現場僅供辦公室使用）","歇業／撤銷"
"18014060","大衛王麵包店","高雄市茄萣區崎漏里健康路１８２號１樓","核准設立"
"14267628","一品萱茶亭","新北市三重區重新路５段６０９巷１２之９號１樓","歇業／撤銷"
"39706498","楓香美食坊","雲林縣虎尾鎮西安里五間厝31之7號1樓","核准設立"
"36872535","喬安娜甜點坊","臺南市安平區建平里建平十七街33號3樓之3","核准設立"
"40740614","糖前家創作所","臺南市永康區安康里中華西街122巷9弄7號1樓","核准設立"
"94666150","東豊行","花蓮縣花蓮市主學里中正路三○一之十號","歇業／撤銷"
"73940260","賓志麵包坊","高雄市美濃區泰安路３１號１樓","核准設立"
"66374556","義益糖?加工廠","嘉義市西區車店里青年街１５號一樓","停業"
"34922068","恆恩本間坊","新竹縣竹北市東平里六家八街37號1樓","歇業／撤銷"
"31879138","?子手作烘焙坊","臺北市南港區園區街19號7樓","核准設立"
"41255250","恩序養生美食館","基隆市七堵區長安街257巷9號1樓","核准設立"
"76731322","愛月堂西點麵包廠","雲林縣斗南鎮中天里中正路一二五號一樓","歇業／撤銷"
"93734990","芳純西點麵包","臺東縣臺東市馬蘭里更生路七０五號一樓","歇業／撤銷"
"34964469","達利食品行","嘉義縣中埔鄉和睦村公館73-8號","核准設立"
"10887225","山明企業行","屏東縣屏東市橋南里工業路24號","列入廢止中"
"60672706","盛發餅舖","彰化縣田尾鄉南曾村福德巷１９０號","核准設立"
"10086245","豪紳企業社","新北市三重區中正北路１９１巷３弄５號１樓","核准設立"
"02139901","奶丘甜點製造社","新北市三峽區中華路75巷23號","歇業／撤銷"
"75941594","誠香餅舖","高雄市三民區力行里中都街２９號","核准設立"
"33347329","黃裕益西點麵包店","新北市板橋區南雅南路?0段１－１號","核准設立"
"37885278","翊飛企業社","新北市八里區龍米路1段246號5樓之1","核准設立"
"19374231","良心有機小品","新竹市香山區中埔里牛埔路235號","核准設立"
"77258013","新美味","金門縣金城鎮南門里民族路２３３號","歇業／撤銷"
"36746432","花樟企業社","臺東縣臺東市仁愛里中華路一段一九一號","核准設立"
"10972221","阿布帝嘟食品行","臺中市北屯區平和里梅川西路四段２８６號５樓之７","核准設立"
"40611798","元益餅店","宜蘭縣羅東鎮南豪里南寧路１２號","核准設立"
"75922132","和美香號","高雄市三民區寶獅里建興街２９４號","歇業／撤銷"
"56925546","柏蒼西點麵包","臺南市北區勝利路447號","歇業／撤銷"
"40655320","新閒生活企業社","臺中市北區建德里國豐街６２巷７號１樓","核准設立"
"97631496","正記食品廠","雲林縣斗六市鎮北里萬年路一三六號","歇業／撤銷"
"41076720","興富大行","新北市三峽區大義路3號5樓","核准設立"
"13673492","雅客登西點麵包店","宜蘭縣宜蘭市東村里校舍路６３號一樓","核准設立"
"26543900","村野企業社","新北市板橋區富山街38巷5弄2號","廢止"
"02755974","來來西點麵包店","新竹縣竹東鎮榮華里朝陽路７０號","核准設立"
"41370744","創新手作食品行","新北市新莊區中港路504號12樓","歇業／撤銷"
"37729256","勝賢自強便利坊","臺東縣臺東市自強里傳廣路一五三巷一號一樓","核准設立"
"37904021","全方位食品行","新北市八里區龍米路3段26號","歇業／撤銷"
"10496590","盛融食品行","高雄市燕巢區安招里安林四街４３號１樓","核准設立"
"25496485","菩提生機本舖","雲林縣斗南鎮明昌里南昌西路26號","核准設立"
"40628339","藍家香食品行","宜蘭縣宜蘭市金六結路526巷6號","核准設立"
"68910006","福香餅家","臺南市安南區州南里安和路5段15號1樓","核准設立"
"25499639","懿品軒食品行","雲林縣斗南鎮舊社里興國路167巷23號4樓","歇業／撤銷"
"33240706","桂香","新北市三峽區永里３７號","歇業／撤銷"
"38789463","囍?商行","雲林縣虎尾鎮興南里26之6號","核准設立"
"26247035","御食起酥蛋糕專賣店","臺北市松山區延壽街66號1樓","歇業／撤銷"
"41091617","樺毅工作坊","新北市蘆洲區信義路188巷19號(2樓)","停業"
"42078752","可之香餅家","宜蘭縣羅東鎮開元里中山路七七號一樓","核准設立"
"26213859","喜之坊食品行","臺北市大安區延吉街137巷4號","停業"
"07912988","岡山麵包店","高雄市岡山區岡山里成功路２８之１號１樓","核准設立"
"29231705","麥詩專業烘培坊","臺北市南港區同德路32號1樓","核准設立"
"25984490","山根企業社","高雄市新興區中山一路１８３號１０樓之１","核准設立"
"36863493","良欣企業社","臺東縣臺東市新興里福建路二七三號","核准設立"
"25714898","艾蜜莉工作室","高雄市大寮區巷尾路７８之３１號","核准設立"
"17299855","中鎂食品行","彰化縣溪湖鎮中山里成功路田巷８４號","核准設立"
"25211214","海棠軒烘焙家","苗栗縣頭份鎮合興里22鄰文化街117號1樓","核准設立"
"40743788","露露和邦手作烘焙部屋","臺南市北區長榮里長榮路5段6號12樓之2","核准設立"
"39764898","高豐食品行","彰化縣社頭鄉廣興村仁雅巷142號1樓","核准設立"
"40744148","木思卡咖啡烘焙","臺南市永康區東橋里東橋三路476號1樓","核准設立"
"26363218","玻爾鬆餅舖","臺北市萬華區成都路19號","核准設立"
"13688740","羿方食品行","新北市新莊區思源路３１５號","核准設立"
"25855171","茶點工作室","臺東縣臺東市四維里勝利街八十六號","核准設立"
"48822645","稻新商行","臺北市士林區社中街99號2樓","歇業／撤銷"
"98690676","連城商行","臺中市潭子區栗林里中山路三段３０５巷２１號１樓","歇業／撤銷"
"30293664","偉客企業社","新北市中和區中山路3段114巷28弄6之2號","核准設立"
"38880808","台灣之心鳳梨酥","南投縣草屯鎮碧峰里保安街12巷12號一樓","核准設立"
"41905705","丹尼爾幸福廚房","宜蘭縣五結鄉成興村成功路2巷8弄55號一樓","核准設立"
"93822868","統帥麵包蛋糕店","臺南市歸仁區南保里文化街三段154號1樓","核准設立"
"76736733","錦味食品廠","雲林縣斗六市長安里長安路一─一一號","歇業／撤銷"
"47351110","杰美西點麵包","南投縣竹山鎮桂林里大智路188號一樓","核准設立"
"21559327","永旋企業社","新北市板橋區信義路１１１號","歇業／撤銷"
"45768631","松柏坑農園台灣咖啡小館","雲林縣斗六市社口里六合街40號","停業"
"41088789","品冠食品行","新北市永和區仁愛路205巷8號","核准設立"
"52948907","美達香糕餅行","臺中市南區樹義里樹義６巷６之９號一樓","停業"
"25246071","蒸道地食品行","臺中市梧棲區文化里文化路2段107號","歇業／撤銷"
"68619120","頂好冷凍食品行","臺南市東區崇善里仁和路40號1樓","歇業／撤銷"
"74152608","和美香","臺南市佳里區子龍里子良廟100之1號","歇業／撤銷"
"02496371","夏綠蒂的廚房","新北市板橋區中正路1巷16弄1號(1樓)","停業"
"38882664","胖?法式烘焙屋","南投縣南投市龍泉里民族路218號3樓","核准設立"
"34933558","藏點子烘焙屋","新竹市東區下竹里南大路210號","核准設立"
"13668646","頂天素食烘焙坊","宜蘭縣羅東鎮南豪里文化街80號一樓","核准設立"
"10952604","米提亞烘焙工坊","彰化縣二林鎮東和里斗苑路5段170號1樓","核准設立"
"06499764","尚新食品行","臺南市安南區幸福里府安路6段103巷96號","歇業／撤銷"
"40726211","九天漫慢饅頭工坊","臺南市南區新昌里國華街1段79號1樓","核准設立"
"45839544","百士德咖啡工坊","臺中市北區賴旺里青島路一段26之5號","歇業／撤銷"
"40970241","小屋子文創工作室","宜蘭縣宜蘭市中山里碧霞街44號","核准設立"
"56945228","新來珍餅舖","臺南市中西區水仙里神農街26號1樓","核准設立"
"74252661","雪華香餅舖","臺南市學甲區中正路235號","核准設立"
"45625326","家豐商行","苗栗縣苗栗市上苗里長安街105號","核准設立"
"83634326","海陸通食品行","高雄市左營區尾西里左營大路４１９巷７９號","核准設立"
"40330457","大興手作工作室","臺中市太平區大興里大興路１７８號１樓","核准設立"
"40868885","森美食品行","臺南市東區崇善里崇善七街6號1樓","核准設立"
"40710702","鹿陶農產企業行","臺南市玉井區玉田里中山路59號2樓","停業"
"41371315","德米蛋糕烘焙坊","新北市中和區宜安路163號","核准設立"
"26545344","灰羽工作室","新北市三重區仁興街31巷8號4樓","核准設立"
"85832440","復國餅舖","高雄市大樹區久堂里中興路１１９號","核准設立"
"21714496","昇元商行","臺北市萬華區南寧路35號2樓之1","遷他縣市"
"80937141","宏騏烘焙食品行","新北市中和區中正路７６６號１樓","核准設立"
"85969655","龍發西點麵包製餅舖","高雄市鳥松區?埔里同富街１３０號","歇業／撤銷"
"25666713","通化烘焙坊","基隆市仁愛區文昌里孝三路52號1樓","歇業／撤銷"
"45214914","傳世茶香商行","南投縣名間鄉松山村松山街４０號一樓","核准設立"
"41075193","有紋小商鋪","新北市新店區中央路133巷13號","核准設立"
"75108313","正成西點麵包舖","高雄市三民區德東里喜84街１７０號","歇業／撤銷"
"43744945","新錦香餅鋪","桃園市大溪區一德里中央路２４之２號","歇業／撤銷"
"88729005","真口味西點麵包店","高雄市岡山區竹圍里竹圍路４６巷１４號","歇業／撤銷"
"69909626","味軒麵包房","臺南市南區南華里中華南路2段390號1樓","核准設立"
"19621373","古早雞休閒農場","彰化縣芬園鄉舊社村彰南路5段451巷36號","核准設立"
"39808489","鄭大興食品行","臺中市太平區宜欣里仁和街６巷１號","核准設立"
"37576977","菁綠茶飲專賣店","臺南市安平區建平里怡平路123號1樓","停業"
"63907100","聯合成餅舖","雲林縣水林鄉水北村水林路三八號","歇業／撤銷"
"34845345","康博利企業社","連江縣南竿鄉介壽村174號","停業"
"38697133","胖樂烘焙工坊","高雄市新興區中山一路６０巷８號１樓","歇業／撤銷"
"39860132","朵麗爾烘焙工坊","雲林縣斗六市鎮南里永昌西街48號1樓","停業"
"26784203","皇品烘焙坊","宜蘭縣礁溪鄉大忠村礁溪路四段161號一樓","核准設立"
"36917625","?昇食品行","高雄市三民區天祥一路１５１號１樓","核准設立"
"37896654","魔法甜點商行","新北市新莊區思源路287巷1弄7號2樓","停業"
"09168795","哈立歐食品行","南投縣埔里鎮北安里六合北路３６號","歇業／撤銷"
"48691849","富貴軒食品商行","臺北市士林區天母西路63號1樓","歇業／撤銷"
"37576977","菁綠茶飲專賣店","臺南市安平區建平里怡平路123號1樓","停業"
"93716472","隆興企業社","臺東縣臺東市豐原里豐原街七三五號一樓","核准設立"
"63924109","顯榮糕餅工廠","雲林縣北港鎮華勝里吉祥路四之一號一樓","核准設立"
"56908005","雪黎麵包店","臺南市東區裕農里裕豐街220之1號1樓","核准設立"
"46050404","元美餅行","新竹市東區榮光里林森路１１號","歇業／撤銷"
"37997055","禾昇有機商行","花蓮縣花蓮市國慶里中山路1段109巷41弄12號","核准設立"
"26349899","順謚蛋糕坊","臺北市中山區中山北路1段40號","歇業／撤銷"
"30288016","小葵烘焙坊","新北市樹林區和平里樹中街61巷18號","核准設立"
"19524512","萬榮行","新北市新莊區民安西路460巷29號","核准設立"
"41374755","俏皮蛋糕坊","新北市蘆洲區民生街51之1號","核准設立"
"25247873","培可力烘焙坊","臺中市大里區日新里中興路2段662號1樓","歇業／撤銷"
"59139748","美而廉食品行","彰化縣北斗鎮七星里民權路八九號","歇業／撤銷"
"69758937","甜心西點蛋糕屋","臺南市東區後甲里建東街62號1樓","歇業／撤銷"
"68487401","品來芳製餅廠","臺南市中西區海安路95號","歇業／撤銷"
"41219240","明星食品行","新竹市香山區美山里中華路五段320巷5弄29號一樓","核准設立"
"46190571","明順興麵包店","新竹市香山區香山里大庄路４２號","核准設立"
"93620997","綠島餅店","臺東縣綠島鄉中寮村八鄰一九七號","核准設立"
"38572274","梨家不遠企業社","臺北市文山區新光路1段167號1樓","核准設立"
"77295410","益源糕餅店","金門縣金湖鎮新市里菜巿路２號","歇業／撤銷"
"39699530","米朵烘焙工坊","南投縣埔里鎮北安里中山路二段14號","核准設立"
"67425147","錦芳珍餅舖","嘉義縣六腳鄉五二號","歇業／撤銷"
"99106954","佳泰食品行","臺中市太平區太平里永豐路６７巷９號１樓","核准設立"
"39840426","仙麥町烘焙屋","臺中市太平區宜佳里宜平路１９巷６號１樓","核准設立"
"98991602","美佳休閒中心","連江縣北竿鄉塘岐村２２０號","核准設立"
"27112470","建福商號","雲林縣崙背鄉東明村民權路四四號","核准設立"
"38567770","雲頂烘焙坊","臺北市文山區景文街171號","核准設立"
"73346402","遠香製餅工廠","臺南市新化區中央里中正路67號","歇業／撤銷"
"15780601","喜品家烘焙乳酪","花蓮縣花蓮市民立里民德一街二０五號一樓","核准設立"
"37866407","韓道食品實業商行","新北市板橋區大觀路1段28巷4弄28號之5","申覆（辯）期"
"26480031","瑪莎烘焙餐飲坊","高雄市新興區南台橫路５４號","核准設立"
"29275463","欣威西點麵包工廠","新北市三重區新北大道2段76號1樓","核准設立"
