CID,CNAME,CADDR,Response_Address,Response_X,Response_Y
9454565,雍康室內裝修有限公司,臺北市大安區敦化南路1段289號2樓之5,臺北市大安區敦安里19鄰敦化南路一段289號,305434.933,2769846.921
9457269,鉅佳室內裝修有限公司,臺北市大安區信義路4段187號8樓,臺北市大安區敦安里12鄰信義路四段187號,305602.609,2769592.517
9459219,光慧設計室內裝修有限公司,臺北市北投區關渡路56號3樓,臺北市北投區關渡里3鄰關渡路56號,297279.163,2779137.035
9460497,雨田室內裝修設計有限公司,臺北市松山區南京東路5段123巷1弄28號1樓,臺北市松山區東光里23鄰南京東路五段123巷1弄28號,306456,2771654.148
9462538,佳濃實業有限公司,臺北市中山區松江路194巷36號,臺北市中山區中吉里20鄰松江路194巷36號,303592.502,2772204.681
9466598,杰群室內裝修設計工程有限公司,臺北市松山區延吉街48巷2號,臺北市松山區吉仁里13鄰延吉街48巷2號,305861.569,2770889.726
9470565,萬大室內裝修設計工程股份有限公司,臺北市中正區館前路65號10樓,臺北市中正區黎明里11鄰館前路65號,301979.045,2770783.044
9485455,造境空間設計有限公司,臺北市中正區仁愛路2段48-6號地下之1,臺北市中正區文北里3鄰仁愛路二段48之6號,303352.587,2770095.753
9490915,達力裝潢設計有限公司,臺北市中正區寧波西街69號6樓,臺北市中正區龍福里17鄰寧波西街69號,302178.533,2769256.603
9491506,偉騰企業有限公司,臺北市大安區安居街107巷4號3樓,臺北市大安區黎元里7鄰安居街107巷4號,305754.881,2767940.767
9492913,林青室內裝修工程有限公司,臺北市信義區莊敬路289巷8弄30號3樓,臺北市信義區景新里14鄰莊敬路289巷8弄30號,306961.574,2769126.904
9498640,御匠設計工程股份有限公司,臺北市大安區仁愛路3段123巷13弄8號1樓,臺北市大安區義村里21鄰仁愛路三段123巷13弄8號,304752.61,2770291.51
11106607,太成美術建築有限公司,臺北市中正區仁愛路2段71號12樓之5,臺北市中正區幸市里10鄰仁愛路二段71號,303580.588,2770135.873
11384209,長春美術工程有限公司,臺北市大安區四維路52巷27之2號3樓,臺北市大安區德安里9鄰四維路52巷27之2號,305160.976,2769791.268
11428804,幸福室內裝修工程有限公司,臺北市中山區長春路129號4樓3室,臺北市中山區中吉里11鄰長春路129號,303528.168,2771969.604
11645870,及第開發股份有限公司,臺北市松山區南京東路5段47號4樓之2,臺北市松山區東光里13鄰南京東路五段47號,306389.105,2771622.466
12116028,祐明實業有限公司,臺北市大同區承德路3段230號12樓,臺北市大同區保安里8鄰承德路三段230號,302306.424,2773894.014
12134356,璋林室內裝修設計工程股份有限公司,臺北市內湖區成功路2段312巷39號1樓,臺北市內湖區湖興里17鄰成功路二段312巷39號,309393.499,2773358.809
12181168,群英室內裝修股份有限公司,臺北市中山區建國北路1段90號9樓,臺北市中山區朱園里4鄰建國北路一段90號,304111.951,2771414.765
12204275,亞翔工程股份有限公司,臺北市內湖區內湖路1段120巷17號5樓,臺北市內湖區西康里26鄰內湖路一段120巷17號,306739.506,2774997.221
12204726,上尚室內裝修有限公司,臺北市中山區新生北路2段108號14樓之14,臺北市中山區聚盛里15鄰新生北路二段108號,303196.635,2772534.781
12224011,天將廣告事業有限公司,臺北市中山區吉林路216號1樓,臺北市中山區中庄里7鄰吉林路216號,303482.604,2772400.051
