CID,CNAME,CADDR,Response_Address,Response_X,Response_Y
5184787,金石堂圖書股份有限公司,臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室,臺北市中正區水源里9鄰汀州路三段184號,303986.283,2767320.722
5190649,金盈通信電機有限公司,臺北市中正區杭州南路2段98之1號2樓,臺北市中正區新營里16鄰杭州南路二段98之1號,302656.555,2769089.51
11456028,南陽實業股份有限公司,臺北市內湖區民權東路6段160號5樓之4,臺北市內湖區寶湖里13鄰民權東路六段160號,309711.229,2773515.268
12228213,廉美裝璜有限公司,臺北市松山區興安街170號1樓,臺北市松山區松基里1鄰興安街170號,304949.461,2772095.764
12461442,鈺翔廣告股份有限公司,臺北市中山區建國北路3段79號7樓,臺北市中山區行孝里9鄰建國北路三段79號,304178.833,2773125.631
12656354,金財通商務科技服務股份有限公司,臺北市松山區南京東路3段261號7樓,臺北市松山區中正里26鄰南京東路三段261號,305005.998,2771650.327
12665065,倍利國際科技股份有限公司,臺北市內湖區內湖路1段91巷17號9樓,臺北市內湖區西康里8鄰內湖路一段91巷17號,306685.163,2775404.567
12798190,伊利特活動企劃有限公司,臺北市大同區太原路97巷18號,臺北市大同區建泰里19鄰太原路97巷16號,302094.11,2771646.626
12912875,生洋網路股份有限公司,臺北市松山區復興北路101號11樓、11樓之1之11,臺北市松山區中正里31鄰復興北路101號,304916.912,2771756.869
12931021,聯亞全球股份有限公司,臺北市松山區八德路2段374號11樓之8,臺北市松山區中崙里6鄰八德路二段374號,305096.515,2771200.543
13127749,銧明科技有限公司,臺北市中山區建國北路1段29號3樓,臺北市中山區朱崙里2鄰建國北路一段29號,304189.407,2771148.389
13131413,統一客樂得服務股份有限公司,臺北市松山區東興路8號8樓,臺北市松山區新聚里17鄰東興路8號,307005.589,2771448.087
13133290,浩銅汽車有限公司,臺北市內湖區新明路122之1號1樓,臺北市內湖區石潭里16鄰新明路122之1號,309398.374,2772453.287
13135537,博進國際有限公司,臺北市中山區新生北路3段48號9樓之1,臺北市中山區恆安里13鄰新生北路三段48號,303206.614,2773042.816
16164859,愛不釋手有限公司,臺北市大安區延吉街159之4號,臺北市大安區正聲里13鄰延吉街159之4號,306024.713,2770233.141
16312789,<U+7287>亞商務股份有限公司,臺北市松山區復興北路99號14樓,臺北市松山區中正里31鄰復興北路99號,304916.628,2771741.723
16313302,網際威信股份有限公司,臺北市內湖區港墘路200號7樓,臺北市內湖區港墘里20鄰港墘路200號,308081.425,2774537.48
16581854,瑋致營造工程科技有限公司,臺北市南港區三重路19之15號,臺北市南港區三重里25鄰三重路19之15號,311869.632,2772419.254
16606102,網路家庭國際資訊股份有限公司,臺北市大安區敦化南路2段105號12樓,臺北市大安區義安里16鄰敦化南路二段105號,305416.238,2769042.356
16756164,微信息股份有限公司,臺北市內湖區環山路1段24巷30號,臺北市內湖區西康里24鄰環山路一段24巷30號,306946.04,2775249.517
20889953,旭華航空貨運承攬有限公司,臺北市中山區民權東路3段75巷11號,臺北市中山區下埤里4鄰民權東路三段75巷11號,304861.416,2772922.862
22199357,台灣德樂士股份有限公司,臺北市中山區大直街104號1樓,臺北市中山區大直里6鄰大直街104號,305277.186,2775226.595
22347759,宇庭國際文創有限公司,臺北市文山區羅斯福路5段89號3樓,臺北市文山區萬盛里6鄰羅斯福路五段89號,304423.827,2766543.725
22470856,華泰電信工程股份有限公司,臺北市中正區杭州南路2段98之1號2樓,臺北市中正區新營里16鄰杭州南路二段98之1號,302656.555,2769089.51
22932914,東凌股份有限公司,臺北市南港區南港路3段50巷1號2樓,臺北市南港區西新里12鄰南港路三段50巷1號,309692.253,2771978.58
23134543,捷元股份有限公司,臺北市內湖區瑞光路66巷36號,臺北市內湖區湖元里18鄰瑞光路66巷36號,308643.533,2773660.912
23420861,艾力特科技有限公司,臺北市中山區新生北路2段41巷44號2樓,臺北市中山區中原里8鄰新生北路二段41巷44號,303444.081,2772001.927
23425492,聖佳科技股份有限公司,臺北市大安區和平東路2段118巷6弄19號1樓,臺北市大安區龍淵里9鄰和平東路二段118巷6弄19號,304719.117,2768509.28
23607325,鋐龍科技有限公司,臺北市大同區庫倫街43號6樓,臺北市大同區保安里11鄰庫倫街43號,302280.35,2773859.168
23750519,道昇國際股份有限公司,臺北市文山區羅斯福路6段142巷82號1樓,臺北市文山區景仁里15鄰羅斯福路六段142巷82號,304371.445,2765592.344
23761945,道成企業有限公司,臺北市文山區羅斯福路6段142巷82號1樓,臺北市文山區景仁里15鄰羅斯福路六段142巷82號,304371.445,2765592.344
23908217,雙向溝通股份有限公司,臺北市松山區松山路421號11樓之1,找不到指定的門牌地址。,,
24301738,派斯克國際有限公司,臺北市大同區承德路3段24巷6號,臺北市大同區蓬萊里4鄰承德路三段24巷6號,302231.705,2772979.693
24305278,九鼎國際事業有限公司,臺北市信義區松德路65號11樓之2,臺北市信義區國業里3鄰松德路65號,308189.417,2770168.963
