"Response_X","Response_Y","R_cat","P_cat","M_cat"
305689.045,2771159.688,1,0,0
305595.913,2771158.149,3,0,0
305553.993,2770970.188,1,0,0
305557.752,2770956.259,1,0,0
305498.626,2770932.576,1,0,0
305506.975,2770917.303,6,4,4
305559.062,2770917.306,3,4,0
305933.011,2771212.019,1,0,0
305972.844,2771208.748,1,2,0
306001.171,2771231.364,1,3,1
306030.306,2771313.115,1,0,0
306123.028,2771347.423,2,0,1
306032.902,2771335.102,6,0,0
306000.121,2771354.304,2,0,0
306017.064,2771353.035,2,0,0
306000.179,2771363.656,3,0,0
306017.395,2771383.881,1,0,0
306015.534,2771267.746,1,0,0
306001.316,2771289.224,1,0,0
306001.271,2771297.65,2,0,0
306000.926,2771206.441,8,5,1
306017.573,2771177.864,1,0,0
305976.227,2771140.441,1,0,0
305976.175,2771119.618,2,0,0
305920.894,2771139.706,2,0,0
306002.58,2771170.946,1,0,0
306002.87,2771174.207,1,0,0
306084.965,2771200.146,7,11,1
306102.844,2771182.071,7,5,2
306105.717,2771226.701,1,0,0
306108.853,2771226.866,2,0,0
306127.086,2771227.822,1,0,0
306136.351,2771201.774,2,1,1
306187.233,2771312.916,1,0,0
306139.256,2771363.476,1,0,0
306129.237,2771297.724,2,0,0
306139.632,2771308.042,1,0,0
306172.36,2771206.335,24,9,1
306178.304,2771207.077,21,37,2
306182.551,2771233.421,16,11,3
306194.395,2771234.9,1,0,0
306192.018,2771234.634,1,0,0
306201.986,2771235.726,56,44,6
306229.403,2771213.263,15,15,0
306217.274,2771237.491,1,0,0
306227.661,2771238.925,2,0,0
306253.456,2771241.799,1,0,0
306259.993,2771242.812,26,9,3
305718.965,2771157.846,1,2,0
305716.672,2771176.154,1,0,0
305715.385,2771159.283,1,0,0
305711.877,2771176.169,1,0,0
305744.966,2771143.812,1,0,0
305755.058,2771045.932,1,0,0
305788.969,2771161.308,1,0,0
305804.919,2771161.239,1,0,0
305810.234,2771161.215,1,0,0
305821.638,2771161.162,1,0,0
305753.897,2770991.955,1,0,0
305746.124,2771183.689,1,0,0
305799.963,2771242.652,11,10,4
305791.075,2771216.265,1,1,0
305823.039,2771242.614,3,0,0
305816.171,2771217.276,1,0,0
305473.027,2771081.682,1,0,0
305472.312,2771044.566,1,0,0
305851.283,2771272.055,2,0,0
305865.4,2771290.055,1,0,0
306591.359,2771253.42,1,0,0
306548.187,2771162.187,5,5,1
306333.357,2771254.077,2,1,0
306751.785,2771250.908,32,2,0
306743.792,2771298.09,2,0,0
306840.011,2771282.287,2,1,0
306336.673,2771286.185,1,0,0
306336.904,2771297.008,4,0,0
306824.032,2771404.502,1,0,0
306861.24,2771284.739,2,0,1
306885.944,2771287.593,1,0,0
306863.189,2771310.865,1,0,0
306911.205,2771290.511,1,0,0
307024.305,2771268.684,1,0,0
306929.795,2771291.048,1,0,0
306936.762,2771291.799,5,1,1
306946.394,2771292.837,2,5,1
306965.104,2771294.854,1,1,1
306972.386,2771295.639,7,3,0
306977.612,2771296.202,1,0,0
306954.556,2771322.052,1,0,0
306375.634,2771230.003,3,0,0
306977.401,2771324.589,3,2,0
306979.52,2771356.858,1,0,0
306975.246,2771369.5,1,0,0
306959.48,2771397.271,3,3,0
306954.166,2771472.148,2,0,1
306929.507,2771438.299,1,0,0
306832.177,2771426.826,2,0,0
306806.588,2771426.522,1,0,0
306835.698,2771410.182,4,6,1
306925.895,2771437.344,2,0,1
306813.264,2771410.032,8,3,2
306942.01,2771466.956,1,0,0
306922.718,2771469.731,1,0,0
306939.843,2771472.431,2,0,0
306910.696,2771465.828,1,0,0
306773.393,2771477.764,1,0,0
306834.436,2771464.515,1,0,0
306893.813,2771529.125,2,0,0
307004.509,2771326.773,1,0,0
307023.894,2771329.26,1,0,0
307029.956,2771330.037,3,0,0
307140.042,2771317.045,1,0,0
307041.334,2771331.497,6,5,1
307044.314,2771335.051,1,0,0
307151.462,2771318.385,5,0,0
307075.107,2771339.713,2,5,0
307088.442,2771337.54,1,0,0
307188.478,2771322.58,1,0,0
307199.063,2771323.966,2,2,0
307117.922,2771341.01,1,0,0
307126.347,2771348.256,2,2,0
307218.192,2771326.209,1,0,0
307094.748,2771380.77,1,0,0
307231.9,2771327.834,1,2,0
307169.932,2771347.084,3,0,2
307174.573,2771347.628,1,0,0
306395.09,2771232.036,2,0,0
307263.374,2771327.594,0,0,1
307183.781,2771348.707,1,0,0
307276.373,2771331.974,1,0,0
307195.042,2771350.025,1,0,0
307281.944,2771332.619,1,0,0
307305.771,2771335.899,1,0,0
307311.651,2771336.572,1,0,0
307315.208,2771336.979,1,0,0
307321.173,2771337.78,1,0,0
307353.766,2771341.939,1,2,0
307360.217,2771342.761,1,0,0
307323.029,2771367.708,3,0,0
307346.769,2771370.461,1,0,0
307358.632,2771371.625,1,0,0
306424.967,2771112.422,1,0,0
306432.013,2771053.648,1,0,0
306419.659,2771160.055,1,0,0
306420.999,2771150.529,1,0,0
307363.867,2771430.083,1,0,0
307375.555,2771395.78,1,0,0
307355.853,2771407.173,2,1,1
307390.032,2771374.066,1,0,0
307404.321,2771387.425,1,1,0
307425.306,2771398.248,2,0,0
307512.37,2771437.335,2,0,0
307520.963,2771416.288,1,0,0
307526.292,2771418.545,1,2,0
307547.963,2771430.455,12,7,2
307558.816,2771429.961,2,0,1
306434.952,2771236.249,4,1,0
