"CID","CNAME","CADDR","IND_CAT","Response_Address","Response_X","Response_Y","city","dist","village","neighbour"
"26241335","大姆指早餐店","臺北市中山區一江街24號","R_cat","臺北市中山區中吉里3鄰一江街24號","303618.931",2771735.417,"臺北市","中山區","中吉里","3鄰"
"99973286","伊通機車行","臺北市中山區一江街24號1樓","R_cat","臺北市中山區中吉里3鄰一江街24號","303618.931",2771735.417,"臺北市","中山區","中吉里","3鄰"
"48583383","府城南香簡餐小館","臺北市中山區一江街25號1樓","R_cat","臺北市中山區中吉里2鄰一江街25號","303639.021",2771772.843,"臺北市","中山區","中吉里","2鄰"
"14318703","四芳小吃店","臺北市中山區一江街31號1樓","R_cat","臺北市中山區中吉里2鄰一江街31號","303638.659",2771799.047,"臺北市","中山區","中吉里","2鄰"
"26241291","弁品早餐店","臺北市中山區一江街44號1樓","R_cat","臺北市中山區中吉里5鄰一江街44號","303619.745",2771860.388,"臺北市","中山區","中吉里","5鄰"
"26368993","立來餐坊","臺北市中山區一江街45號地下","R_cat","臺北市中山區中吉里8鄰一江街45號","303641.273",2771913.697,"臺北市","中山區","中吉里","8鄰"
"29248229","米記小吃店","臺北市中山區一江街48號1樓","R_cat","臺北市中山區中吉里5鄰一江街48號","303619.496",2771874.854,"臺北市","中山區","中吉里","5鄰"
"21704574","人人素食麵館","臺北市中山區一江街56號1樓","R_cat","臺北市中山區中吉里5鄰一江街56號","303619.744",2771898.298,"臺北市","中山區","中吉里","5鄰"
"26241264","妍而美早餐店","臺北市中山區一江街58號","R_cat","臺北市中山區中吉里5鄰一江街58號","303619.495",2771901.79,"臺北市","中山區","中吉里","5鄰"
"26239915","御品早餐店","臺北市中山區一江街60之2號","R_cat","臺北市中山區中吉里5鄰一江街60之2號","303616.399",2771918.487,"臺北市","中山區","中吉里","5鄰"
"83929715","街角複合式餐坊","臺北市中山區一江街9號1樓","R_cat","臺北市中山區興亞里17鄰一江街9號","303636.236",2771552.859,"臺北市","中山區","興亞里","17鄰"
"26221794","楓葉食品行","臺北市文山區一壽街14號","R_cat","臺北市文山區樟新里11鄰一壽街14號","306176.274",2763676.398,"臺北市","文山區","樟新里","11鄰"
"25544108","義式馬可咖啡坊","臺北市文山區一壽街16號1樓","R_cat","臺北市文山區樟新里11鄰一壽街16號","306177.238",2763671.701,"臺北市","文山區","樟新里","11鄰"
"27180119","歐萊特室內裝修設計工程行","臺北市文山區一壽街20巷11號5樓","R_cat","臺北市文山區樟新里9鄰一壽街20巷11號","306108.502",2763642.999,"臺北市","文山區","樟新里","9鄰"
"18465254","長紘商行","臺北市北投區一德街10巷9號3樓","R_cat","臺北市北投區一德里13鄰一德街10巷9號","297279.166",2780163.583,"臺北市","北投區","一德里","13鄰"
"25672264","汎妍生活商行","臺北市北投區一德街10巷9號3樓","R_cat","臺北市北投區一德里13鄰一德街10巷9號","297279.166",2780163.583,"臺北市","北投區","一德里","13鄰"
"38469460","益民工程行","臺北市北投區一德街12號","M_cat","臺北市北投區一德里13鄰一德街12號","297257.307",2780127.691,"臺北市","北投區","一德里","13鄰"
"25518122","駿驊機車行","臺北市中正區八德路1段28號1樓","R_cat","臺北市中正區梅花里15鄰八德路一段28號","303495.635",2770705.367,"臺北市","中正區","梅花里","15鄰"
"38568911","光華小吃店","臺北市中正區八德路1段34號","R_cat","臺北市中正區梅花里15鄰八德路一段34號","303519.191",2770717.767,"臺北市","中正區","梅花里","15鄰"
"38507128","華山食品行","臺北市中正區八德路1段34號(1樓)","R_cat","臺北市中正區梅花里15鄰八德路一段34號","303519.191",2770717.767,"臺北市","中正區","梅花里","15鄰"
"25550641","和闐商行","臺北市中正區八德路1段43巷28號1樓","R_cat","臺北市中正區梅花里14鄰八德路一段43巷28號","303634.514",2770832.988,"臺北市","中正區","梅花里","14鄰"
"38467765","集思資訊社","臺北市中正區八德路1段43巷28號1樓","R_cat","臺北市中正區梅花里14鄰八德路一段43巷28號","303634.514",2770832.988,"臺北市","中正區","梅花里","14鄰"
"38563789","設計布企業社","臺北市中正區八德路1段46號9樓","R_cat","臺北市中正區梅花里15鄰八德路一段46號","303571.074",2770731.719,"臺北市","中正區","梅花里","15鄰"
"38562992","宇翔企業社","臺北市中正區八德路1段46號9樓","M_cat","臺北市中正區梅花里15鄰八德路一段46號","303571.074",2770731.719,"臺北市","中正區","梅花里","15鄰"
"38570178","興紘企業社","臺北市中正區八德路1段46號9樓","M_cat","臺北市中正區梅花里15鄰八德路一段46號","303571.074",2770731.719,"臺北市","中正區","梅花里","15鄰"
"38581484","廣錩工程行","臺北市中正區臺北市中正區八德路1段46號9樓","M_cat","臺北市中正區梅花里15鄰八德路一段46號","303571.074",2770731.719,"臺北市","中正區","梅花里","15鄰"
"38553918","衣哲服飾店","臺北市中正區八德路1段46號9樓","R_cat","臺北市中正區梅花里15鄰八德路一段46號","303571.074",2770731.719,"臺北市","中正區","梅花里","15鄰"
"26232624","金和捲門企業社","臺北市中正區八德路1段46號9樓","R_cat","臺北市中正區梅花里15鄰八德路一段46號","303571.074",2770731.719,"臺北市","中正區","梅花里","15鄰"
"38513698","詠冠行","臺北市中正區八德路1段80號","R_cat","臺北市中正區梅花里15鄰八德路一段80號","303660.844",2770755.571,"臺北市","中正區","梅花里","15鄰"
"25692000","北科茶行","臺北市中正區八德路1段82巷18號","R_cat","臺北市中正區梅花里15鄰八德路一段82巷18號","303698.921",2770712.461,"臺北市","中正區","梅花里","15鄰"
"25682002","啟成企業社","臺北市中正區八德路1段82巷2號","R_cat","臺北市中正區梅花里15鄰八德路一段82巷2號","303673.717",2770747.488,"臺北市","中正區","梅花里","15鄰"
"25536424","千富小吃店","臺北市中正區八德路1段82巷8號","R_cat","臺北市中正區梅花里15鄰八德路一段82巷8號","303678.392",2770730.22,"臺北市","中正區","梅花里","15鄰"
"26237584","咖食堂商店","臺北市中正區八德路1段82巷9弄13號","R_cat","臺北市中正區梅花里15鄰八德路一段82巷9弄13號","303624.333",2770709.966,"臺北市","中正區","梅花里","15鄰"
"99354927","銀記小吃店","臺北市中正區八德路1段82巷9弄15號1樓","R_cat","臺北市中正區梅花里15鄰八德路一段82巷9弄15號","303619.404",2770708.966,"臺北市","中正區","梅花里","15鄰"
"31866393","佐賀餐飲","臺北市中正區八德路1段82巷9弄18號","R_cat","臺北市中正區梅花里15鄰八德路一段82巷9弄18號","303646.134",2770702.901,"臺北市","中正區","梅花里","15鄰"
"38562986","好的益商號","臺北市中正區八德路1段82巷9弄19號1樓","R_cat","臺北市中正區梅花里15鄰八德路一段82巷9弄19號","303611.246",2770707.31,"臺北市","中正區","梅花里","15鄰"
"38474219","寧靜時光屋","臺北市中正區八德路1段82巷9弄22號","R_cat","臺北市中正區梅花里15鄰八德路一段82巷9弄22號","303631.126",2770700.492,"臺北市","中正區","梅花里","15鄰"
"31829861","老德記小吃店","臺北市中正區八德路1段82巷9弄3號","R_cat","臺北市中正區梅花里15鄰八德路一段82巷9弄3號","303649.755",2770714.924,"臺北市","中正區","梅花里","15鄰"
"42269648","榮華茶餐廳","臺北市中正區八德路1段82巷9弄5號","R_cat","臺北市中正區梅花里15鄰八德路一段82巷9弄5號","303645.709",2770714.177,"臺北市","中正區","梅花里","15鄰"
"38580176","妙榕企業社","臺北市中山區八德路2段100號10樓之2","R_cat","臺北市中山區埤頭里2鄰八德路二段100號","304105.327",2770959.454,"臺北市","中山區","埤頭里","2鄰"
"38580160","鑫煜企業社","臺北市中山區八德路2段100號10樓之2","R_cat","臺北市中山區埤頭里2鄰八德路二段100號","304105.327",2770959.454,"臺北市","中山區","埤頭里","2鄰"
"99614016","昆山小吃店","臺北市中山區八德路2段108之1號8德市場攤位36號","R_cat",NA,NA,NA,NA,NA,NA,NA
"17522783","格惠商行","臺北市中山區八德路2段108之1號八德市場1樓117號攤位","R_cat",NA,NA,NA,NA,NA,NA,NA
"13842379","建國百貨行","臺北市中山區八德路2段108之1號八德市場8號攤位","R_cat",NA,NA,NA,NA,NA,NA,NA
"38505183","橙品國際企業社","臺北市大安區八德路2段10巷41號","R_cat","臺北市大安區民輝里23鄰八德路二段10巷41號","304077.651",2770743.367,"臺北市","大安區","民輝里","23鄰"
"38460094","彭巴牛排館","臺北市中山區八德硌2段168號","R_cat","臺北市中山區埤頭里3鄰八德路二段168號","304285.126",2770999.362,"臺北市","中山區","埤頭里","3鄰"
"26351682","涎鄉企業行","臺北市中山區八德路2段174巷9弄5號3樓","R_cat","臺北市中山區埤頭里4鄰八德路二段174巷9弄5號","304357.618",2770960.889,"臺北市","中山區","埤頭里","4鄰"
"31866823","久良食品行","臺北市中山區八德路2段174巷9弄5號3樓","R_cat","臺北市中山區埤頭里4鄰八德路二段174巷9弄5號","304357.618",2770960.889,"臺北市","中山區","埤頭里","4鄰"
"73884675","中倫車業行","臺北市中山區八德路2段191號1樓","R_cat","臺北市中山區朱崙里6鄰八德路二段191號","304376.605",2771041.034,"臺北市","中山區","朱崙里","6鄰"
"48901063","鴻祥汽車材料行","臺北市中山區八德路2段195號","R_cat","臺北市中山區朱崙里6鄰八德路二段195號","304387.558",2771043.015,"臺北市","中山區","朱崙里","6鄰"
"01285932","裕豐汽車保養所","臺北市中山區八德路2段197號1樓","R_cat","臺北市中山區朱崙里6鄰八德路二段197號","304390.863",2771043.612,"臺北市","中山區","朱崙里","6鄰"
"31874020","金泰餐坊","臺北市中山區八德路2段206號","R_cat","臺北市中山區埤頭里4鄰八德路二段206號","304392.098",2771018.743,"臺北市","中山區","埤頭里","4鄰"
"01299197","清風機車行","臺北市中山區八德路2段223號1樓","R_cat","臺北市中山區朱崙里6鄰八德路二段223號","304497.886",2771063.511,"臺北市","中山區","朱崙里","6鄰"
"26253556","愛來愛玉冷飲店","臺北市中山區八德路2段226號","R_cat","臺北市中山區埤頭里10鄰八德路二段226號","304490.513",2771037.033,"臺北市","中山區","埤頭里","10鄰"
"17075975","台贏企業社","臺北市中山區八德路2段227號1樓","R_cat","臺北市中山區朱崙里6鄰八德路二段227號","304509.748",2771066.659,"臺北市","中山區","朱崙里","6鄰"
"48676328","米之鄉美食店","臺北市中山區八德路2段239號1樓","R_cat","臺北市中山區朱崙里12鄰八德路二段239號","304563.334",2771082.147,"臺北市","中山區","朱崙里","12鄰"
"38498789","茶本漢坊","臺北市中山區八德路2段243號1樓","R_cat","臺北市中山區朱崙里12鄰八德路二段243號","304570.462",2771084.047,"臺北市","中山區","朱崙里","12鄰"
"15642663","靖安美食坊","臺北市中山區八德路2段269號1樓","R_cat","臺北市中山區朱崙里14鄰八德路二段269號","304639.683",2771102.989,"臺北市","中山區","朱崙里","14鄰"
"77906242","八德饅頭專賣店","臺北市大安區八德路2段26號1樓","R_cat","臺北市大安區民輝里20鄰八德路二段26號","303938.406",2770840.778,"臺北市","大安區","民輝里","20鄰"
"26251641","麻?堂牛肉麵店","臺北市中山區八德路2段275號","R_cat","臺北市中山區朱崙里14鄰八德路二段275號","304653.481",2771106.755,"臺北市","中山區","朱崙里","14鄰"
"38510469","貢發茶坊","臺北市中山區八德路2段277號1樓","R_cat","臺北市中山區朱崙里14鄰八德路二段277號","304657.839",2771107.944,"臺北市","中山區","朱崙里","14鄰"
"26371081","傳承文玩工作室","臺北市大安區八德路2段27號","R_cat","臺北市大安區民輝里19鄰八德路二段27號","303855.819",2770835.146,"臺北市","大安區","民輝里","19鄰"
