"number","level","M_cat","P_cat","R_cat","max_cat","index"
"11","1",0,0,1,"R_cat","11_1"
"13","1",0,0,2,"R_cat","13_1"
"17","1",0,0,1,"R_cat","17_1"
"17","2",1,1,1,"M_cat","17_2"
"19","1",0,0,1,"R_cat","19_1"
"21","1",0,0,1,"R_cat","21_1"
"21","4",0,1,1,"P_cat","21_4"
"27","1",0,0,1,"R_cat","27_1"
"29","1",0,0,1,"R_cat","29_1"
"29","3",0,1,1,"R_cat","29_3"
"31","3",0,0,1,"R_cat","31_3"
