"admin","R_cat","P_cat","M_cat","max_cat"
"¦N¼y¨½4¾F",2,0,0,"R_cat"
"¦N¼y¨½5¾F",4,2,1,"R_cat"
"¦N¼y¨½6¾F",13,4,3,"R_cat"
"¦N¼y¨½7¾F",1,0,2,"M_cat"
"¦N¼y¨½8¾F",1,0,0,"R_cat"
"¦N¼y¨½9¾F",2,2,1,"R_cat"
"¦W¤s¨½10¾F",4,1,1,"R_cat"
"¦W¤s¨½13¾F",18,10,5,"R_cat"
"¦W¤s¨½14¾F",11,0,1,"R_cat"
"¦W¤s¨½15¾F",1,3,0,"P_cat"
"¦W¤s¨½16¾F",0,1,0,"P_cat"
"¦W¤s¨½17¾F",9,1,2,"R_cat"
"¦W¤s¨½18¾F",5,3,0,"R_cat"
"¦W¤s¨½1¾F",4,0,0,"R_cat"
"¦W¤s¨½20¾F",7,2,1,"R_cat"
"¦W¤s¨½21¾F",6,5,3,"R_cat"
"¦W¤s¨½22¾F",2,1,1,"R_cat"
"¦W¤s¨½23¾F",0,1,0,"P_cat"
"¦W¤s¨½24¾F",4,1,0,"R_cat"
"¦W¤s¨½25¾F",7,1,0,"R_cat"
"¦W¤s¨½3¾F",8,2,2,"R_cat"
"¦W¤s¨½4¾F",6,4,3,"R_cat"
"¦W¤s¨½5¾F",9,2,1,"R_cat"
"¦W¤s¨½6¾F",1,0,0,"R_cat"
"¦W¤s¨½7¾F",3,6,0,"P_cat"
"¦W¤s¨½8¾F",5,3,3,"R_cat"
"¦W¤s¨½9¾F",6,0,0,"R_cat"
"¦w¥­¨½10¾F",5,3,1,"R_cat"
"¦w¥­¨½11¾F",3,0,0,"R_cat"
"¦w¥­¨½12¾F",3,2,0,"R_cat"
"¦w¥­¨½13¾F",19,2,0,"R_cat"
"¦w¥­¨½14¾F",4,0,2,"R_cat"
"¦w¥­¨½15¾F",4,0,0,"R_cat"
"¦w¥­¨½16¾F",5,0,0,"R_cat"
"¦w¥­¨½17¾F",3,5,0,"P_cat"
"¦w¥­¨½18¾F",8,1,3,"R_cat"
"¦w¥­¨½19¾F",3,0,1,"R_cat"
"¦w¥­¨½1¾F",14,8,3,"R_cat"
"¦w¥­¨½20¾F",6,2,1,"R_cat"
"¦w¥­¨½21¾F",2,1,1,"R_cat"
"¦w¥­¨½22¾F",16,16,5,"R_cat"
"¦w¥­¨½23¾F",44,37,6,"R_cat"
"¦w¥­¨½24¾F",13,2,1,"R_cat"
"¦w¥­¨½25¾F",1,2,1,"P_cat"
"¦w¥­¨½26¾F",8,6,4,"R_cat"
"¦w¥­¨½27¾F",1,0,1,"M_cat"
"¦w¥­¨½28¾F",1,1,2,"M_cat"
"¦w¥­¨½29¾F",8,3,3,"R_cat"
"¦w¥­¨½2¾F",4,1,3,"R_cat"
"¦w¥­¨½30¾F",11,5,1,"R_cat"
"¦w¥­¨½31¾F",6,5,0,"R_cat"
"¦w¥­¨½32¾F",5,4,2,"R_cat"
"¦w¥­¨½33¾F",21,16,2,"R_cat"
"¦w¥­¨½3¾F",4,2,0,"R_cat"
"¦w¥­¨½4¾F",12,7,1,"R_cat"
"¦w¥­¨½5¾F",14,5,3,"R_cat"
"¦w¥­¨½6¾F",3,3,0,"P_cat"
"¦w¥­¨½7¾F",63,38,6,"R_cat"
"¦w¥­¨½8¾F",39,36,4,"R_cat"
"¦w¥­¨½9¾F",7,0,1,"R_cat"
"¦w®õ¨½10¾F",4,0,0,"R_cat"
"¦w®õ¨½11¾F",2,1,0,"R_cat"
"¦w®õ¨½12¾F",1,0,0,"R_cat"
"¦w®õ¨½13¾F",5,0,1,"R_cat"
"¦w®õ¨½14¾F",3,1,4,"M_cat"
"¦w®õ¨½1¾F",5,1,0,"R_cat"
"¦w®õ¨½2¾F",2,2,0,"R_cat"
"¦w®õ¨½3¾F",5,1,1,"R_cat"
"¦w®õ¨½4¾F",1,0,0,"R_cat"
"¦w®õ¨½5¾F",0,1,1,"P_cat"
"¦w®õ¨½6¾F",3,2,3,"R_cat"
"¦w®õ¨½7¾F",0,0,1,"M_cat"
"¦w®õ¨½8¾F",3,3,0,"R_cat"
"¦w®õ¨½9¾F",7,4,2,"R_cat"
"¦w±d¨½10¾F",13,5,0,"R_cat"
"¦w±d¨½11¾F",4,2,0,"R_cat"
"¦w±d¨½12¾F",10,4,1,"R_cat"
"¦w±d¨½13¾F",7,1,0,"R_cat"
"¦w±d¨½14¾F",9,9,2,"P_cat"
"¦w±d¨½15¾F",5,2,2,"R_cat"
"¦w±d¨½16¾F",3,1,1,"R_cat"
"¦w±d¨½17¾F",2,4,0,"P_cat"
"¦w±d¨½18¾F",2,0,1,"R_cat"
"¦w±d¨½19¾F",9,3,1,"R_cat"
"¦w±d¨½1¾F",3,1,0,"R_cat"
"¦w±d¨½20¾F",126,118,21,"R_cat"
"¦w±d¨½21¾F",108,100,16,"R_cat"
"¦w±d¨½22¾F",5,1,0,"R_cat"
"¦w±d¨½23¾F",6,5,1,"R_cat"
"¦w±d¨½24¾F",1,2,0,"P_cat"
"¦w±d¨½25¾F",12,3,3,"R_cat"
"¦w±d¨½26¾F",4,5,1,"P_cat"
"¦w±d¨½27¾F",7,3,4,"R_cat"
"¦w±d¨½28¾F",32,22,12,"R_cat"
"¦w±d¨½29¾F",3,2,1,"R_cat"
"¦w±d¨½2¾F",2,2,0,"P_cat"
"¦w±d¨½30¾F",1,1,0,"R_cat"
"¦w±d¨½31¾F",2,2,0,"R_cat"
"¦w±d¨½32¾F",5,2,2,"R_cat"
"¦w±d¨½3¾F",10,6,2,"R_cat"
"¦w±d¨½4¾F",33,20,7,"R_cat"
"¦w±d¨½5¾F",18,10,3,"R_cat"
"¦w±d¨½6¾F",1,0,0,"R_cat"
"¦w±d¨½7¾F",4,1,1,"R_cat"
"¦w±d¨½8¾F",46,55,8,"P_cat"
"¦w±d¨½9¾F",26,32,1,"P_cat"
"¦w´ò¨½10¾F",8,2,2,"R_cat"
"¦w´ò¨½11¾F",2,0,0,"R_cat"
"¦w´ò¨½12¾F",4,0,2,"R_cat"
"¦w´ò¨½13¾F",9,1,2,"R_cat"
"¦w´ò¨½14¾F",5,2,0,"R_cat"
"¦w´ò¨½16¾F",1,1,0,"R_cat"
"¦w´ò¨½17¾F",3,0,2,"R_cat"
"¦w´ò¨½18¾F",4,0,1,"R_cat"
"¦w´ò¨½19¾F",3,1,0,"R_cat"
"¦w´ò¨½1¾F",16,3,2,"R_cat"
"¦w´ò¨½20¾F",5,4,0,"R_cat"
"¦w´ò¨½2¾F",11,6,1,"R_cat"
"¦w´ò¨½3¾F",5,2,1,"R_cat"
"¦w´ò¨½4¾F",29,3,2,"R_cat"
"¦w´ò¨½5¾F",11,1,1,"R_cat"
"¦w´ò¨½6¾F",4,0,0,"R_cat"
"¦w´ò¨½7¾F",5,0,1,"R_cat"
"¦w´ò¨½8¾F",3,3,2,"P_cat"
"¦w´ò¨½9¾F",7,2,1,"R_cat"
"¦¨¥\¨½11¾F",8,8,1,"P_cat"
"¦¨¥\¨½12¾F",37,24,6,"R_cat"
"¦¨¥\¨½13¾F",28,11,3,"R_cat"
"¦¨¥\¨½14¾F",4,1,0,"R_cat"
"¦¨¥\¨½16¾F",59,36,12,"R_cat"
"¦¨¥\¨½17¾F",31,25,7,"R_cat"
"¦¨¥\¨½18¾F",63,31,16,"R_cat"
"¦¨¥\¨½19¾F",74,30,8,"R_cat"
"¦¨¥\¨½1¾F",4,2,0,"R_cat"
"¦¨¥\¨½20¾F",13,2,1,"R_cat"
"¦¨¥\¨½21¾F",23,4,3,"R_cat"
"¦¨¥\¨½2¾F",9,3,0,"R_cat"
"¦¨¥\¨½3¾F",7,4,1,"R_cat"
"¦¨¥\¨½4¾F",9,4,1,"R_cat"
"¦¨¥\¨½5¾F",2,3,0,"P_cat"
"¦¨¥\¨½6¾F",4,1,1,"R_cat"
"¦¨¥\¨½7¾F",7,2,0,"R_cat"
"¦¨¥\¨½8¾F",8,7,1,"R_cat"
"¦¨¥\¨½9¾F",17,5,1,"R_cat"
"¦¨ºÖ¨½10¾F",3,1,0,"R_cat"
"¦¨ºÖ¨½11¾F",0,2,3,"M_cat"
"¦¨ºÖ¨½12¾F",6,3,2,"R_cat"
"¦¨ºÖ¨½13¾F",4,1,2,"R_cat"
"¦¨ºÖ¨½14¾F",2,0,0,"R_cat"
"¦¨ºÖ¨½15¾F",6,1,2,"R_cat"
"¦¨ºÖ¨½16¾F",3,0,3,"M_cat"
"¦¨ºÖ¨½18¾F",8,0,2,"R_cat"
"¦¨ºÖ¨½19¾F",1,4,1,"P_cat"
"¦¨ºÖ¨½1¾F",10,1,0,"R_cat"
"¦¨ºÖ¨½20¾F",5,0,1,"R_cat"
"¦¨ºÖ¨½21¾F",3,1,0,"R_cat"
"¦¨ºÖ¨½22¾F",8,5,2,"R_cat"
"¦¨ºÖ¨½24¾F",0,1,2,"M_cat"
"¦¨ºÖ¨½25¾F",1,1,1,"P_cat"
"¦¨ºÖ¨½26¾F",4,1,1,"R_cat"
"¦¨ºÖ¨½28¾F",2,0,0,"R_cat"
"¦¨ºÖ¨½29¾F",5,1,1,"R_cat"
"¦¨ºÖ¨½2¾F",3,0,0,"R_cat"
"¦¨ºÖ¨½30¾F",1,0,1,"R_cat"
"¦¨ºÖ¨½31¾F",0,1,0,"P_cat"
"¦¨ºÖ¨½3¾F",2,2,3,"M_cat"
"¦¨ºÖ¨½4¾F",2,2,0,"P_cat"
"¦¨ºÖ¨½5¾F",1,0,0,"R_cat"
"¦¨ºÖ¨½6¾F",1,0,0,"R_cat"
"¦¨ºÖ¨½7¾F",5,2,4,"R_cat"
"¦¨ºÖ¨½9¾F",1,0,1,"M_cat"
"¦¶±[¨½10¾F",22,11,0,"R_cat"
"¦¶±[¨½11¾F",2,1,1,"R_cat"
"¦¶±[¨½12¾F",34,40,4,"P_cat"
"¦¶±[¨½13¾F",7,1,2,"R_cat"
"¦¶±[¨½14¾F",11,3,1,"R_cat"
"¦¶±[¨½15¾F",80,52,9,"R_cat"
"¦¶±[¨½16¾F",77,51,14,"R_cat"
"¦¶±[¨½1¾F",50,38,10,"R_cat"
"¦¶±[¨½2¾F",4,5,1,"P_cat"
"¦¶±[¨½3¾F",8,9,2,"P_cat"
"¦¶±[¨½4¾F",2,1,0,"R_cat"
"¦¶±[¨½5¾F",3,1,0,"R_cat"
"¦¶±[¨½6¾F",22,19,3,"R_cat"
"¦¶±[¨½7¾F",43,20,6,"R_cat"
"¦¶±[¨½8¾F",15,12,3,"R_cat"
"¦¶±[¨½9¾F",56,41,6,"R_cat"
"¦¶¶é¨½10¾F",31,18,3,"R_cat"
"¦¶¶é¨½11¾F",52,33,4,"R_cat"
"¦¶¶é¨½12¾F",128,115,17,"R_cat"
"¦¶¶é¨½13¾F",59,41,13,"R_cat"
"¦¶¶é¨½14¾F",9,3,1,"R_cat"
"¦¶¶é¨½15¾F",16,11,1,"R_cat"
"¦¶¶é¨½16¾F",13,11,2,"R_cat"
"¦¶¶é¨½17¾F",58,25,9,"R_cat"
"¦¶¶é¨½19¾F",7,3,2,"R_cat"
"¦¶¶é¨½1¾F",185,110,35,"R_cat"
"¦¶¶é¨½20¾F",18,8,5,"R_cat"
"¦¶¶é¨½21¾F",82,65,14,"R_cat"
"¦¶¶é¨½22¾F",14,11,3,"R_cat"
"¦¶¶é¨½23¾F",13,6,2,"R_cat"
"¦¶¶é¨½2¾F",8,6,1,"R_cat"
"¦¶¶é¨½3¾F",25,28,3,"P_cat"
"¦¶¶é¨½4¾F",30,16,8,"R_cat"
"¦¶¶é¨½5¾F",6,2,3,"R_cat"
"¦¶¶é¨½6¾F",63,26,12,"R_cat"
"¦¶¶é¨½7¾F",115,41,16,"R_cat"
"¦¶¶é¨½8¾F",217,162,19,"R_cat"
"¦¶¶é¨½9¾F",57,43,8,"R_cat"
"¦¶ÃL¨½10¾F",11,8,1,"R_cat"
"¦¶ÃL¨½11¾F",4,8,0,"P_cat"
"¦¶ÃL¨½12¾F",35,31,7,"R_cat"
"¦¶ÃL¨½13¾F",6,4,1,"R_cat"
"¦¶ÃL¨½14¾F",4,0,1,"R_cat"
"¦¶ÃL¨½15¾F",1,2,0,"P_cat"
"¦¶ÃL¨½16¾F",2,4,0,"P_cat"
"¦¶ÃL¨½17¾F",13,0,2,"R_cat"
"¦¶ÃL¨½18¾F",6,4,1,"R_cat"
"¦¶ÃL¨½19¾F",7,1,0,"R_cat"
"¦¶ÃL¨½1¾F",30,16,9,"R_cat"
"¦¶ÃL¨½20¾F",7,1,0,"R_cat"
"¦¶ÃL¨½21¾F",16,5,2,"R_cat"
"¦¶ÃL¨½22¾F",17,9,3,"R_cat"
"¦¶ÃL¨½23¾F",1,2,0,"P_cat"
"¦¶ÃL¨½24¾F",1,2,0,"P_cat"
"¦¶ÃL¨½25¾F",4,2,0,"R_cat"
"¦¶ÃL¨½26¾F",5,3,1,"R_cat"
"¦¶ÃL¨½27¾F",30,3,2,"R_cat"
"¦¶ÃL¨½2¾F",11,4,3,"R_cat"
"¦¶ÃL¨½3¾F",87,55,16,"R_cat"
"¦¶ÃL¨½4¾F",4,2,0,"R_cat"
"¦¶ÃL¨½6¾F",2,0,0,"R_cat"
"¦¶ÃL¨½7¾F",1,3,0,"P_cat"
"¦¶ÃL¨½8¾F",8,0,0,"R_cat"
"¦¶ÃL¨½9¾F",2,2,0,"P_cat"
"¦¿¤s¨½10¾F",30,39,7,"P_cat"
"¦¿¤s¨½11¾F",14,7,1,"R_cat"
"¦¿¤s¨½12¾F",90,79,22,"R_cat"
"¦¿¤s¨½13¾F",2,3,1,"P_cat"
"¦¿¤s¨½14¾F",5,4,0,"R_cat"
"¦¿¤s¨½15¾F",4,2,0,"R_cat"
"¦¿¤s¨½16¾F",15,4,3,"R_cat"
"¦¿¤s¨½17¾F",36,27,11,"R_cat"
"¦¿¤s¨½18¾F",2,2,1,"P_cat"
"¦¿¤s¨½19¾F",5,4,0,"R_cat"
"¦¿¤s¨½1¾F",11,9,1,"R_cat"
"¦¿¤s¨½20¾F",8,2,2,"R_cat"
"¦¿¤s¨½21¾F",22,12,4,"R_cat"
"¦¿¤s¨½22¾F",16,7,3,"R_cat"
"¦¿¤s¨½23¾F",82,46,12,"R_cat"
"¦¿¤s¨½24¾F",8,2,1,"R_cat"
"¦¿¤s¨½25¾F",31,18,4,"R_cat"
"¦¿¤s¨½26¾F",10,1,0,"R_cat"
"¦¿¤s¨½2¾F",9,4,2,"R_cat"
"¦¿¤s¨½3¾F",6,3,1,"R_cat"
"¦¿¤s¨½4¾F",10,3,2,"R_cat"
"¦¿¤s¨½5¾F",4,1,1,"R_cat"
"¦¿¤s¨½6¾F",4,0,2,"R_cat"
"¦¿¤s¨½7¾F",78,46,12,"R_cat"
"¦¿¤s¨½8¾F",8,1,1,"R_cat"
"¦¿¤s¨½9¾F",14,1,0,"R_cat"
"¦¿¹ç¨½10¾F",5,1,1,"R_cat"
"¦¿¹ç¨½11¾F",2,0,0,"R_cat"
"¦¿¹ç¨½12¾F",11,3,2,"R_cat"
"¦¿¹ç¨½13¾F",3,1,0,"R_cat"
"¦¿¹ç¨½14¾F",47,31,8,"R_cat"
"¦¿¹ç¨½15¾F",18,4,0,"R_cat"
"¦¿¹ç¨½16¾F",7,1,0,"R_cat"
"¦¿¹ç¨½17¾F",4,1,1,"R_cat"
"¦¿¹ç¨½18¾F",64,47,2,"R_cat"
"¦¿¹ç¨½19¾F",29,16,4,"R_cat"
"¦¿¹ç¨½1¾F",100,77,14,"R_cat"
"¦¿¹ç¨½20¾F",20,10,0,"R_cat"
"¦¿¹ç¨½21¾F",2,6,0,"P_cat"
"¦¿¹ç¨½22¾F",12,6,0,"R_cat"
"¦¿¹ç¨½23¾F",14,8,4,"R_cat"
"¦¿¹ç¨½24¾F",13,9,0,"R_cat"
"¦¿¹ç¨½2¾F",15,2,1,"R_cat"
"¦¿¹ç¨½3¾F",8,7,0,"R_cat"
"¦¿¹ç¨½4¾F",13,4,1,"R_cat"
"¦¿¹ç¨½5¾F",9,4,2,"R_cat"
"¦¿¹ç¨½6¾F",6,2,0,"R_cat"
"¦¿¹ç¨½7¾F",17,11,3,"R_cat"
"¦¿¹ç¨½8¾F",15,4,1,"R_cat"
"¦¿¹ç¨½9¾F",4,2,0,"R_cat"
"¦ÊºÖ¨½10¾F",1,0,0,"R_cat"
"¦ÊºÖ¨½11¾F",1,0,0,"R_cat"
"¦ÊºÖ¨½12¾F",1,0,0,"R_cat"
"¦ÊºÖ¨½13¾F",4,1,0,"R_cat"
"¦ÊºÖ¨½15¾F",3,0,3,"R_cat"
"¦ÊºÖ¨½16¾F",1,0,0,"R_cat"
"¦ÊºÖ¨½17¾F",1,1,0,"P_cat"
"¦ÊºÖ¨½18¾F",1,0,0,"R_cat"
"¦ÊºÖ¨½19¾F",1,0,1,"M_cat"
"¦ÊºÖ¨½1¾F",10,3,2,"R_cat"
"¦ÊºÖ¨½21¾F",3,0,2,"R_cat"
"¦ÊºÖ¨½22¾F",13,7,0,"R_cat"
"¦ÊºÖ¨½2¾F",3,1,0,"R_cat"
"¦ÊºÖ¨½3¾F",1,3,3,"P_cat"
"¦ÊºÖ¨½4¾F",6,0,0,"R_cat"
"¦ÊºÖ¨½5¾F",5,3,1,"R_cat"
"¦ÊºÖ¨½6¾F",1,1,0,"P_cat"
"¦ÊºÖ¨½7¾F",7,3,4,"R_cat"
"¦ÊºÖ¨½8¾F",6,0,0,"R_cat"
"¦ÊºÖ¨½9¾F",1,3,0,"P_cat"
"¦ÊÄÖ¨½10¾F",4,2,3,"R_cat"
"¦ÊÄÖ¨½11¾F",1,0,1,"R_cat"
"¦ÊÄÖ¨½13¾F",0,0,1,"M_cat"
"¦ÊÄÖ¨½15¾F",3,3,1,"R_cat"
"¦ÊÄÖ¨½17¾F",6,2,0,"R_cat"
"¦ÊÄÖ¨½18¾F",20,9,4,"R_cat"
"¦ÊÄÖ¨½19¾F",2,0,0,"R_cat"
"¦ÊÄÖ¨½1¾F",7,1,0,"R_cat"
"¦ÊÄÖ¨½20¾F",5,2,0,"R_cat"
"¦ÊÄÖ¨½23¾F",5,2,0,"R_cat"
"¦ÊÄÖ¨½24¾F",3,1,0,"R_cat"
"¦ÊÄÖ¨½25¾F",3,2,0,"R_cat"
"¦ÊÄÖ¨½26¾F",4,5,0,"P_cat"
"¦ÊÄÖ¨½27¾F",3,0,0,"R_cat"
"¦ÊÄÖ¨½2¾F",1,0,2,"M_cat"
"¦ÊÄÖ¨½3¾F",1,0,0,"R_cat"
"¦ÊÄÖ¨½4¾F",1,0,0,"R_cat"
"¦ÊÄÖ¨½5¾F",4,2,0,"R_cat"
"¦ÊÄÖ¨½6¾F",2,2,0,"R_cat"
"¦ÊÄÖ¨½7¾F",4,0,1,"R_cat"
"¦ÊÄÖ¨½8¾F",2,0,0,"R_cat"
"¦ÊÄÖ¨½9¾F",3,0,0,"R_cat"
"¦Ñ¬u¨½1¾F",1,0,0,"R_cat"
"¦Ñ¬u¨½3¾F",1,0,0,"R_cat"
"¦Ñ¬u¨½9¾F",1,0,0,"R_cat"
"¦Ñ®v¨½10¾F",11,2,2,"R_cat"
"¦Ñ®v¨½11¾F",6,1,0,"R_cat"
"¦Ñ®v¨½12¾F",6,3,0,"R_cat"
"¦Ñ®v¨½13¾F",8,4,0,"R_cat"
"¦Ñ®v¨½15¾F",9,4,0,"R_cat"
"¦Ñ®v¨½16¾F",8,2,1,"R_cat"
"¦Ñ®v¨½17¾F",6,2,3,"R_cat"
"¦Ñ®v¨½18¾F",6,1,0,"R_cat"
"¦Ñ®v¨½19¾F",1,1,0,"R_cat"
"¦Ñ®v¨½1¾F",20,5,4,"R_cat"
"¦Ñ®v¨½20¾F",6,3,1,"R_cat"
"¦Ñ®v¨½21¾F",6,2,2,"R_cat"
"¦Ñ®v¨½22¾F",5,0,1,"R_cat"
"¦Ñ®v¨½2¾F",7,0,1,"R_cat"
"¦Ñ®v¨½3¾F",3,4,1,"P_cat"
"¦Ñ®v¨½4¾F",3,1,0,"R_cat"
"¦Ñ®v¨½5¾F",8,2,2,"R_cat"
"¦Ñ®v¨½6¾F",5,3,3,"R_cat"
"¦Ñ®v¨½7¾F",6,3,1,"R_cat"
"¦Ñ®v¨½8¾F",11,2,3,"R_cat"
"¦Ñ®v¨½9¾F",14,3,0,"R_cat"
"¦Û±j¨½10¾F",2,0,0,"R_cat"
"¦Û±j¨½11¾F",2,0,1,"R_cat"
"¦Û±j¨½12¾F",6,1,1,"R_cat"
"¦Û±j¨½13¾F",5,2,2,"R_cat"
"¦Û±j¨½14¾F",5,1,1,"R_cat"
"¦Û±j¨½15¾F",1,0,0,"R_cat"
"¦Û±j¨½16¾F",1,0,0,"R_cat"
"¦Û±j¨½17¾F",1,0,1,"M_cat"
"¦Û±j¨½18¾F",4,5,0,"P_cat"
"¦Û±j¨½19¾F",2,0,0,"R_cat"
"¦Û±j¨½1¾F",4,0,1,"R_cat"
"¦Û±j¨½21¾F",2,0,0,"R_cat"
"¦Û±j¨½22¾F",1,0,0,"R_cat"
"¦Û±j¨½23¾F",8,4,0,"R_cat"
"¦Û±j¨½24¾F",2,2,0,"P_cat"
"¦Û±j¨½25¾F",1,0,0,"R_cat"
"¦Û±j¨½26¾F",1,1,0,"R_cat"
"¦Û±j¨½2¾F",2,1,0,"R_cat"
"¦Û±j¨½3¾F",0,2,0,"P_cat"
"¦Û±j¨½4¾F",2,3,0,"P_cat"
"¦Û±j¨½5¾F",1,0,0,"R_cat"
"¦Û±j¨½6¾F",3,0,0,"R_cat"
"¦Û±j¨½7¾F",3,0,2,"R_cat"
"¦Û±j¨½8¾F",3,1,0,"R_cat"
"¦Û±j¨½9¾F",4,1,0,"R_cat"
"¦Ü¸t¨½10¾F",13,3,1,"R_cat"
"¦Ü¸t¨½11¾F",15,7,4,"R_cat"
"¦Ü¸t¨½12¾F",6,0,0,"R_cat"
"¦Ü¸t¨½15¾F",6,3,2,"R_cat"
"¦Ü¸t¨½16¾F",5,5,0,"R_cat"
"¦Ü¸t¨½17¾F",5,2,1,"R_cat"
"¦Ü¸t¨½18¾F",9,3,1,"R_cat"
"¦Ü¸t¨½19¾F",8,4,0,"R_cat"
"¦Ü¸t¨½1¾F",6,5,0,"R_cat"
"¦Ü¸t¨½20¾F",3,1,0,"R_cat"
"¦Ü¸t¨½21¾F",9,4,0,"R_cat"
"¦Ü¸t¨½22¾F",0,1,0,"P_cat"
"¦Ü¸t¨½23¾F",5,3,1,"R_cat"
"¦Ü¸t¨½24¾F",13,6,0,"R_cat"
"¦Ü¸t¨½25¾F",19,2,2,"R_cat"
"¦Ü¸t¨½26¾F",10,2,0,"R_cat"
"¦Ü¸t¨½27¾F",5,0,1,"R_cat"
"¦Ü¸t¨½28¾F",14,3,2,"R_cat"
"¦Ü¸t¨½29¾F",29,8,3,"R_cat"
"¦Ü¸t¨½2¾F",5,0,0,"R_cat"
"¦Ü¸t¨½30¾F",3,0,1,"R_cat"
"¦Ü¸t¨½31¾F",2,2,1,"R_cat"
"¦Ü¸t¨½32¾F",34,10,2,"R_cat"
"¦Ü¸t¨½33¾F",6,0,0,"R_cat"
"¦Ü¸t¨½3¾F",2,0,2,"M_cat"
"¦Ü¸t¨½4¾F",19,10,1,"R_cat"
"¦Ü¸t¨½5¾F",7,5,3,"R_cat"
"¦Ü¸t¨½6¾F",27,7,3,"R_cat"
"¦Ü¸t¨½7¾F",34,17,3,"R_cat"
"¦Ü¸t¨½8¾F",26,6,2,"R_cat"
"¦Ü¸t¨½9¾F",5,4,0,"R_cat"
"¦æ¤¯¨½10¾F",8,1,0,"R_cat"
"¦æ¤¯¨½11¾F",4,2,0,"R_cat"
"¦æ¤¯¨½12¾F",5,1,1,"R_cat"
"¦æ¤¯¨½13¾F",16,3,0,"R_cat"
"¦æ¤¯¨½14¾F",4,0,0,"R_cat"
"¦æ¤¯¨½15¾F",12,0,0,"R_cat"
"¦æ¤¯¨½16¾F",5,1,2,"R_cat"
"¦æ¤¯¨½17¾F",5,1,2,"R_cat"
"¦æ¤¯¨½18¾F",3,1,0,"R_cat"
"¦æ¤¯¨½19¾F",9,2,3,"R_cat"
"¦æ¤¯¨½1¾F",18,3,2,"R_cat"
"¦æ¤¯¨½20¾F",7,1,2,"R_cat"
"¦æ¤¯¨½21¾F",2,1,0,"R_cat"
"¦æ¤¯¨½22¾F",6,0,1,"R_cat"
"¦æ¤¯¨½23¾F",8,3,2,"R_cat"
"¦æ¤¯¨½24¾F",8,1,0,"R_cat"
"¦æ¤¯¨½25¾F",3,3,0,"R_cat"
"¦æ¤¯¨½26¾F",5,3,2,"R_cat"
"¦æ¤¯¨½27¾F",6,0,0,"R_cat"
"¦æ¤¯¨½28¾F",6,3,3,"R_cat"
"¦æ¤¯¨½29¾F",8,2,2,"R_cat"
"¦æ¤¯¨½2¾F",6,1,1,"R_cat"
"¦æ¤¯¨½30¾F",21,4,1,"R_cat"
"¦æ¤¯¨½31¾F",23,7,0,"R_cat"
"¦æ¤¯¨½3¾F",5,2,2,"R_cat"
"¦æ¤¯¨½4¾F",6,3,1,"R_cat"
"¦æ¤¯¨½5¾F",8,3,1,"R_cat"
"¦æ¤¯¨½6¾F",3,2,0,"R_cat"
"¦æ¤¯¨½7¾F",19,10,6,"R_cat"
"¦æ¤¯¨½8¾F",6,2,0,"R_cat"
"¦æ¤¯¨½9¾F",5,1,0,"R_cat"
"¦æ§µ¨½10¾F",9,2,4,"R_cat"
"¦æ§µ¨½11¾F",30,6,6,"R_cat"
"¦æ§µ¨½12¾F",14,8,3,"R_cat"
"¦æ§µ¨½13¾F",20,13,2,"R_cat"
"¦æ§µ¨½14¾F",11,5,2,"R_cat"
"¦æ§µ¨½15¾F",32,9,3,"R_cat"
"¦æ§µ¨½16¾F",23,2,4,"R_cat"
"¦æ§µ¨½1¾F",5,1,0,"R_cat"
"¦æ§µ¨½2¾F",3,1,0,"R_cat"
"¦æ§µ¨½3¾F",1,1,0,"P_cat"
"¦æ§µ¨½4¾F",9,1,1,"R_cat"
"¦æ§µ¨½5¾F",5,0,2,"R_cat"
"¦æ§µ¨½6¾F",15,7,1,"R_cat"
"¦æ§µ¨½7¾F",2,0,1,"R_cat"
"¦æ§µ¨½8¾F",7,0,1,"R_cat"
"¦æ§µ¨½9¾F",16,4,2,"R_cat"
"¦æ¬F¨½10¾F",5,3,0,"R_cat"
"¦æ¬F¨½11¾F",13,7,2,"R_cat"
"¦æ¬F¨½12¾F",20,12,2,"R_cat"
"¦æ¬F¨½13¾F",6,1,0,"R_cat"
"¦æ¬F¨½14¾F",25,5,3,"R_cat"
"¦æ¬F¨½15¾F",57,34,16,"R_cat"
"¦æ¬F¨½16¾F",14,7,2,"R_cat"
"¦æ¬F¨½17¾F",24,20,3,"R_cat"
"¦æ¬F¨½18¾F",31,7,4,"R_cat"
"¦æ¬F¨½19¾F",11,4,1,"R_cat"
"¦æ¬F¨½1¾F",45,24,8,"R_cat"
"¦æ¬F¨½2¾F",3,0,0,"R_cat"
"¦æ¬F¨½3¾F",14,9,0,"R_cat"
"¦æ¬F¨½4¾F",19,12,0,"R_cat"
"¦æ¬F¨½5¾F",18,6,1,"R_cat"
"¦æ¬F¨½6¾F",10,6,0,"R_cat"
"¦æ¬F¨½7¾F",10,1,3,"R_cat"
"¦æ¬F¨½8¾F",19,8,1,"R_cat"
"¦æ¬F¨½9¾F",27,11,3,"R_cat"
"¦æµ½¨½10¾F",4,0,2,"R_cat"
"¦æµ½¨½11¾F",3,0,0,"R_cat"
"¦æµ½¨½12¾F",1,0,0,"R_cat"
"¦æµ½¨½13¾F",3,4,2,"P_cat"
"¦æµ½¨½15¾F",4,1,0,"R_cat"
