"admin","R_cat","P_cat","M_cat","max_cat"
"¤T¥Á¨½4¾F",4,3,1,"R_cat"
"¤T¥Á¨½5¾F",7,4,0,"R_cat"
"¤T¥Á¨½6¾F",9,5,1,"R_cat"
"¤T¥Á¨½7¾F",3,1,0,"R_cat"
"¤T¥Á¨½8¾F",5,0,0,"R_cat"
"¤T¥Á¨½9¾F",10,2,1,"R_cat"
"¤T¥É¨½10¾F",5,0,0,"R_cat"
"¤T¥É¨½11¾F",7,0,0,"R_cat"
"¤T¥É¨½12¾F",3,0,0,"R_cat"
"¤T¥É¨½13¾F",11,5,1,"R_cat"
"¤T¥É¨½14¾F",7,4,0,"R_cat"
"¤T¥É¨½15¾F",12,1,1,"R_cat"
"¤T¥É¨½16¾F",14,6,0,"R_cat"
"¤T¥É¨½17¾F",11,7,0,"R_cat"
"¤T¥É¨½18¾F",9,0,0,"R_cat"
"¤T¥É¨½19¾F",18,9,3,"R_cat"
"¤T¥É¨½1¾F",8,1,0,"R_cat"
"¤T¥É¨½20¾F",8,3,2,"R_cat"
"¤T¥É¨½21¾F",6,0,2,"R_cat"
"¤T¥É¨½2¾F",4,0,0,"R_cat"
"¤T¥É¨½3¾F",6,2,1,"R_cat"
"¤T¥É¨½4¾F",5,3,0,"R_cat"
"¤T¥É¨½5¾F",4,0,2,"R_cat"
"¤T¥É¨½6¾F",5,1,0,"R_cat"
"¤T¥É¨½7¾F",11,4,0,"R_cat"
"¤T¥É¨½8¾F",1,1,0,"P_cat"
"¤T¥É¨½9¾F",5,0,1,"R_cat"
"¤T­«¨½10¾F",21,12,2,"R_cat"
"¤T­«¨½11¾F",13,3,2,"R_cat"
"¤T­«¨½12¾F",7,1,1,"R_cat"
"¤T­«¨½13¾F",29,30,1,"P_cat"
"¤T­«¨½14¾F",2,2,1,"P_cat"
"¤T­«¨½15¾F",9,1,1,"R_cat"
"¤T­«¨½16¾F",1,0,0,"R_cat"
"¤T­«¨½17¾F",4,4,1,"R_cat"
"¤T­«¨½18¾F",1,0,0,"R_cat"
"¤T­«¨½19¾F",5,3,0,"R_cat"
"¤T­«¨½1¾F",6,0,0,"R_cat"
"¤T­«¨½20¾F",2,3,1,"P_cat"
"¤T­«¨½21¾F",0,3,0,"P_cat"
"¤T­«¨½22¾F",2,1,0,"R_cat"
"¤T­«¨½23¾F",6,3,0,"R_cat"
"¤T­«¨½24¾F",17,8,4,"R_cat"
"¤T­«¨½25¾F",234,248,6,"P_cat"
"¤T­«¨½26¾F",9,4,2,"R_cat"
"¤T­«¨½27¾F",3,1,0,"R_cat"
"¤T­«¨½28¾F",8,2,0,"R_cat"
"¤T­«¨½29¾F",2,1,0,"R_cat"
"¤T­«¨½2¾F",30,32,6,"P_cat"
"¤T­«¨½31¾F",1,0,0,"R_cat"
"¤T­«¨½32¾F",1,1,0,"R_cat"
