"level","M_cat","P_cat","R_cat","max_cat"
"10",0,2,2,"P_cat"
"11",0,1,3,"R_cat"
"12",0,2,4,"R_cat"
"3",0,1,2,"R_cat"
"4",0,1,4,"R_cat"
"5",0,1,3,"R_cat"
"6",2,3,0,"P_cat"
"7",4,4,2,"P_cat"
"8",0,1,3,"R_cat"
"9",0,1,4,"R_cat"
